seatId,tableId,seatNumber,createdAt,updatedAt
table-01-seat-1,table-01,1,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-01-seat-2,table-01,2,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-01-seat-3,table-01,3,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-01-seat-4,table-01,4,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-01-seat-5,table-01,5,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-01-seat-6,table-01,6,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-01-seat-7,table-01,7,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-01-seat-8,table-01,8,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-02-seat-1,table-02,1,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-02-seat-2,table-02,2,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-02-seat-3,table-02,3,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-02-seat-4,table-02,4,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-02-seat-5,table-02,5,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-02-seat-6,table-02,6,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-02-seat-7,table-02,7,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-02-seat-8,table-02,8,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-03-seat-1,table-03,1,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-03-seat-2,table-03,2,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-03-seat-3,table-03,3,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-03-seat-4,table-03,4,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-03-seat-5,table-03,5,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-03-seat-6,table-03,6,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-03-seat-7,table-03,7,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
table-03-seat-8,table-03,8,2026-06-15T10:00:00Z,2026-07-15T12:00:00Z
