paymentId,serviceId,paymentNumber,amount,dueDate,paidDate,paid,notes,createdAt,updatedAt
pay-010,serv-009,1,533.33,2025-11-15,2025-11-14,TRUE,Señal de coordinación,2025-11-14T10:00:00Z,2025-11-14T10:00:00Z
pay-011,serv-009,2,533.33,2026-04-15,2026-04-14,TRUE,Segundo plazo,2026-04-14T10:00:00Z,2026-04-14T10:00:00Z
pay-012,serv-009,3,533.34,2026-08-15,,FALSE,Saldo tras coordinación del evento,2026-06-01T10:00:00Z,2026-07-10T10:00:00Z
pay-013,serv-010,1,450,2026-04-01,2026-03-28,TRUE,Servicio de protocolo liquidado,2026-03-28T10:00:00Z,2026-03-28T10:00:00Z
pay-014,serv-011,1,700,2026-02-01,2026-01-30,TRUE,Reserva de vídeo,2026-01-30T10:00:00Z,2026-01-30T10:00:00Z
pay-015,serv-011,2,700,2026-05-15,2026-05-14,TRUE,Segundo plazo de vídeo,2026-05-14T10:00:00Z,2026-05-14T10:00:00Z
pay-016,serv-011,3,700,2026-08-22,,FALSE,Saldo a la entrega del material,2026-06-01T10:00:00Z,2026-07-06T10:00:00Z
pay-017,serv-012,1,390,2026-03-01,2026-02-28,TRUE,Reserva del cuarteto,2026-02-28T10:00:00Z,2026-02-28T10:00:00Z
pay-018,serv-012,2,390,2026-08-10,,FALSE,Saldo antes de ceremonia,2026-06-01T10:00:00Z,2026-07-14T10:00:00Z
pay-019,serv-013,1,445,2026-03-01,2026-02-27,TRUE,Anticipo iluminación jardín,2026-02-27T10:00:00Z,2026-02-27T10:00:00Z
pay-020,serv-013,2,445,2026-08-12,,FALSE,Saldo de iluminación jardín,2026-06-01T10:00:00Z,2026-07-11T10:00:00Z
pay-021,serv-014,1,620,2026-07-01,2026-06-30,TRUE,Iluminación de pista liquidada,2026-06-30T10:00:00Z,2026-06-30T10:00:00Z
pay-022,serv-015,1,360,2026-07-25,,FALSE,Impresión pendiente al cerrar mesas,2026-06-01T10:00:00Z,2026-07-09T10:00:00Z
pay-023,serv-016,1,270,2026-04-15,2026-04-12,TRUE,Señal de photocall,2026-04-12T10:00:00Z,2026-04-12T10:00:00Z
pay-024,serv-016,2,270,2026-08-10,,FALSE,Saldo de montaje,2026-06-01T10:00:00Z,2026-07-09T10:00:00Z
pay-025,serv-017,1,620,2026-03-15,2026-03-14,TRUE,Reserva habitaciones,2026-03-14T10:00:00Z,2026-03-14T10:00:00Z
pay-026,serv-017,2,620,2026-08-01,,FALSE,Saldo alojamiento invitados,2026-06-01T10:00:00Z,2026-07-08T10:00:00Z
pay-027,serv-018,1,590,2026-04-01,2026-03-30,TRUE,Reserva barra de cócteles,2026-03-30T10:00:00Z,2026-03-30T10:00:00Z
pay-028,serv-018,2,590,2026-08-15,,FALSE,Saldo barra de cócteles,2026-06-01T10:00:00Z,2026-07-16T10:00:00Z
pay-029,serv-019,1,320,2026-04-01,2026-03-31,TRUE,Primera mitad detalles,2026-03-31T10:00:00Z,2026-03-31T10:00:00Z
pay-030,serv-019,2,320,2026-07-30,,FALSE,Saldo al entregar etiquetas,2026-06-01T10:00:00Z,2026-07-04T10:00:00Z
pay-031,serv-020,1,520,2026-05-20,2026-05-18,TRUE,Maquillaje y peinado liquidado,2026-05-18T10:00:00Z,2026-05-18T10:00:00Z
pay-032,serv-021,1,180,2026-07-20,,FALSE,Compra pendiente de kit de emergencia,2026-06-15T10:00:00Z,2026-07-13T10:00:00Z
pay-001,serv-001,1,1400,2026-01-15,2026-01-14,TRUE,Señal de reserva,2026-01-14T10:00:00Z,2026-01-14T10:00:00Z
pay-002,serv-001,2,1400,2026-05-15,2026-05-14,TRUE,Segundo plazo,2026-05-14T10:00:00Z,2026-05-14T10:00:00Z
pay-003,serv-001,3,1400,2026-08-15,,FALSE,Saldo antes del evento,2026-06-15T10:00:00Z,2026-07-01T10:00:00Z
pay-004,serv-002,1,2266.67,2026-02-01,2026-01-30,TRUE,Reserva catering,2026-01-30T10:00:00Z,2026-01-30T10:00:00Z
pay-005,serv-002,2,2266.67,2026-07-22,,FALSE,Pendiente de transferencia,2026-06-20T10:00:00Z,2026-07-17T09:00:00Z
pay-006,serv-002,3,2266.66,2026-08-22,,FALSE,Saldo día de la boda,2026-06-20T10:00:00Z,2026-07-12T10:00:00Z
pay-007,serv-003,1,925,2026-03-01,2026-02-28,TRUE,Reserva fotografía,2026-02-28T10:00:00Z,2026-02-28T10:00:00Z
pay-008,serv-003,2,925,2026-08-22,,FALSE,Entrega del álbum,2026-06-15T10:00:00Z,2026-07-05T10:00:00Z
pay-009,serv-006,1,950,2026-08-10,,FALSE,Factura pendiente,2026-06-20T10:00:00Z,2026-07-16T10:00:00Z
